trade_number,timestamp_cell1,cumulative_pnl_cell1,timestamp_cell2,cumulative_pnl_cell2,timestamp_cell3,cumulative_pnl_cell3
46,1782068400,1500.18712784624,1782255600,1168.641025487832,1782244800,1008.6886977584261
47,1782068400,1524.4107303307119,1782338400,1262.8157827693854,1782244800,908.6886977584261
48,1782068400,1562.3417648134705,1782338400,1162.8157827693854,1782255600,1019.2150135478998
49,1782079200,1462.3417648134705,1782338400,1208.8011842292394,1782338400,1113.3897708294533
50,1782079200,1362.3417648134705,1782417600,1312.2599838223218,1782338400,1013.3897708294533
51,1782090000,1262.3417648134705,1782417600,1212.2599838223218,1782338400,1059.3751722893073
52,1782090000,1587.8736797070876,1782439200,1289.2511342647997,1782349200,1109.7511121389314
53,1782147600,1629.7176513382933,1782439200,1189.2511342647997,1782417600,1213.2099117320138
54,1782147600,1529.7176513382933,1782439200,1266.2422847072776,1782417600,1113.2099117320138
55,1782162000,1536.6695229960474,1782500400,1302.296706475985,1782428400,1169.2161519816239
56,1782162000,1647.1958387855211,1782500400,1396.4714637575385,1782439200,1246.2073024241017
57,1782183600,1864.6561562458387,1782518400,1464.5386906482947,1782439200,1323.1984528665796
58,1782244800,1764.6561562458387,1782603000,1692.407543107311,1782439200,1223.1984528665796
59,1782244800,1664.6561562458387,1782603000,1592.407543107311,1782500400,1259.252874635287
60,1782255600,1775.1824720353125,1782612000,1682.8837335835015,1782500400,1357.2726766154851
61,1782338400,1869.3572293168659,1782673200,1748.1729897818486,1782518400,1425.3399035062414
62,1782338400,1769.3572293168659,1782752400,2040.3298525269465,1782603000,1653.2087559652578
63,1782338400,1815.34263077672,1782765000,1940.3298525269465,1782612000,1553.2087559652578
64,1782349200,1865.718570626344,1782777600,2106.996519193613,1782612000,1566.2031062477436
65,1782417600,1969.1773702194264,1782777600,2131.220121678085,1782673200,1646.3832864279238
66,1782417600,1869.1773702194264,1782777600,2141.1102315681946,1782752400,1938.5401491730217
67,1782428400,1925.1836104690365,1782777600,2265.82933269179,1782752400,1838.5401491730217
68,1782439200,2002.1747609115143,1782777600,2311.814734151644,1782765000,1738.5401491730217
69,1782439200,1902.1747609115143,1782777600,2211.814734151644,1782765000,1638.5401491730217
70,1782439200,1979.1659113539922,1782777600,2111.814734151644,1782777600,1805.2068158396885
71,1782500400,2015.2203331226997,1782777600,2136.814734151644,1782777600,1807.770918403791
72,1782500400,2109.395090404253,1782781200,2036.8147341516442,1782777600,1927.5511381840108
73,1782518400,2177.4623172950096,1782781200,2052.421670567829,1782777600,1827.5511381840108
74,1782594000,2209.9126484208373,1782820800,2064.5921697265503,1782777600,1851.7747406684828
75,1782603000,2437.7815008798534,1782820800,2148.0784082586606,1782781200,1751.7747406684828
76,1782603000,2337.7815008798534,1782838800,2258.6047240481344,1782781200,1767.3816770846677
77,1782612000,2237.7815008798534,1782838800,2282.8283265326063,1782838800,1877.9079928741414
78,1782612000,2250.775851162339,1782838800,2310.216861564453,1782838800,1902.1315953586134
79,1782673200,2316.0651073606864,1782838800,2400.6930520406436,1782838800,1929.5201303904605
80,1782752400,2608.2219701057843,1782853200,2480.873232220824,1782838800,2019.9963208666509
81,1782752400,2508.2219701057843,1782853200,2506.6593957428363,1782853200,2100.176501046831
82,1782765000,2510.786072669887,1782867600,2636.5444532141005,1782853200,2125.9626645688436
83,1782765000,2410.786072669887,1782867600,2639.108555778203,1782853200,2025.9626645688436
84,1782765000,2310.786072669887,1782878400,2643.220997214955,1782853200,2071.9480660286977
85,1782777600,2477.4527393365533,1782878400,2797.998067278649,1782867600,2201.833123499962
86,1782777600,2480.016841900656,1782921600,2922.7171684022446,1782867600,2254.5048792251528
87,1782777600,2599.7970616808757,1782936000,3016.891925683798,1782878400,2409.281949288847
88,1782777600,2625.583225202888,1782936000,3090.804969162059,1782921600,2309.281949288847
89,1782777600,2525.583225202888,1782936000,3215.5240702856545,1782921600,2434.0010504124425
90,1782777600,2549.80682768736,1782950400,3278.1256963019146,1782921600,2482.149198560591
91,1782781200,2449.80682768736,1782950400,3289.8575398773337,1782936000,2576.323955842144
92,1782781200,2465.413764103545,1782950400,3189.8575398773337,1782936000,2650.236999320405
93,1782838800,2575.9400798930187,1783018800,3270.4444473265435,1782936000,2774.9561004440006
94,1782838800,2628.6118356182096,1783018800,3170.4444473265435,1782950400,2837.5577264602607
95,1782838800,2656.0003706500565,1783033200,3235.3929009347908,1782950400,2849.28957003568
96,1782838800,2746.476561126247,1785513540,3240.4349177415133,1783018800,2929.8764774848896
97,1782853200,2826.656741306427,,,1783018800,2829.8764774848896
98,1782853200,2852.4429048284396,,,1783018800,2862.9879583501142
99,1782853200,2752.4429048284396,,,1783033200,2942.7632392489904
100,1782853200,2798.4283062882937,,,1783033200,2950.8713473570983
101,1782867600,2928.313363759558,,,1785513540,2955.913364163821
102,1782867600,2980.985119484749,,,,
103,1782878400,3135.762189548443,,,,
104,1782921600,3035.762189548443,,,,
105,1782921600,3160.4812906720385,,,,
106,1782921600,3208.629438820187,,,,
107,1782936000,3302.80419610174,,,,
108,1782936000,3376.717239580001,,,,
109,1782936000,3501.4363407035967,,,,
110,1782950400,3564.0379667198567,,,,
111,1782950400,3575.769810295276,,,,
112,1782950400,3475.769810295276,,,,
113,1783018800,3556.3567177444856,,,,
114,1783018800,3456.3567177444856,,,,
115,1783018800,3489.4681986097103,,,,
116,1783033200,3569.2434795085865,,,,
117,1783033200,3469.2434795085865,,,,
118,1783033200,3477.3515876166944,,,,
119,1785513540,3482.393604423417,,,,
